timepoint,Bac_Obs,Ind_Obs
0,0.0131003325322904,-0.0019728518203511
200,-0.00618834899237381,NaN
350,NaN,-0.0154833894527892
400,0.0769381442774426,NaN
600,0.171406969541087,NaN
750,NaN,0.00905620775786309
850,0.312265789467623,NaN
1000,0.415952852470923,0.190935095681207
1500,0.628571678045542,0.558990255895673
2000,0.685412691717643,0.713452202420288
2500,0.679409608662664,0.641743946965292
3000,0.724279239816709,0.551778429213516
4000,NaN,0.354647396436358
4500,NaN,0.317911933511915
6000,NaN,0.209619930022103
7000,NaN,0.153085247531504
