timepoint,Bac_Obs,Ind_Obs
0,0.0217819226894213,-0.0157472004534653
150,0.0297613757581188,NaN
300,0.0562060649372955,NaN
450,0.0883196371495928,-0.00954592084901796
600,0.136029774775385,NaN
750,0.204396274222418,NaN
900,NaN,0.0862400976671791
950,0.251760364992481,NaN
1000,0.288673521516358,NaN
1500,0.351085685524343,0.488736850378602
2000,0.358118853593424,0.66404644367487
2500,0.362087142416795,0.63148776946338
3000,NaN,0.611970361317754
4000,NaN,0.404502452178747
5000,NaN,0.289135672528353
6000,NaN,0.228680542406221
7000,NaN,0.169511174355751
8500,NaN,0.105959920079543
