timepoint,Bac_Obs,Ind_Obs
0,-0.0152784362582257,0.00399126860714875
400,0.0342680681780037,NaN
450,NaN,-0.0108362075232566
800,0.0774210127229506,NaN
900,NaN,0.0173998158392439
1000,0.134776391646058,NaN
1500,0.213941648371589,0.210079539830512
2000,0.411999644747875,0.467944272573183
2500,NaN,0.660220451149313
3000,0.896807536785815,0.667222191030317
3500,1.02987039515518,NaN
4000,NaN,0.457902545709838
4500,1.071640305031,NaN
5000,NaN,0.319691995329125
5500,1.12632040398379,NaN
6000,NaN,0.218153186873383
6500,1.0725310385099,NaN
7000,NaN,0.170369006178947
8500,NaN,0.148449933151848
