timepoint,Bac_Obs,Ind_Obs
0,0.0269328515160434,0.000225945014525316
150,-0.00645314588283498,NaN
300,0.0508531272402366,NaN
400,NaN,0.00253234990820999
450,0.113448837029502,NaN
600,0.255462796363278,NaN
800,0.516105249386426,0.00279322391581319
1000,0.846205063261797,0.00251894063718395
1500,1.24379946659334,0.00221004143426548
2000,1.1984883237617,0.00198943297714119
2500,1.16080416460528,0.00188186838959054
3500,NaN,0.00172595767559687
4000,NaN,0.00131833794947566
5000,NaN,0.00141424992045081
6000,NaN,0.00143754076332982
7500,NaN,0.00108787153092421
