t,b10_Obs,bio_Obs
0,0.00154727351870799,0
20,0.406027573472519,0.232123570730231
40,1.14088007364482,NaN
45,NaN,0.760282581117806
65,0.506240287850523,NaN
70,NaN,2.19239372019017
85,0.61244567136542,NaN
95,NaN,3.16198552605181
100,0.607613779876763,3.41971151264688
150,0.725743703076746,1.85589300225104
200,0.551597166026236,4.83547457674183
250,0.398080490011125,2.05372428998192
300,0.17075694781816,3.07577897672694
350,0.063574856407727,2.14321864541564
450,0.0288959375722545,3.19311498994924
