t,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me3K36me0_Obs,K27me3K36me2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,0.000664925615378101,0.159215153595672,0.00589968806506255,0.00814628884181139,0.649888821871481,0.00385004864069656,0.00194512282777807,1.03213435971419,1.28292342333803,1.07825396532658,0.208966379536216,0.864035165155685,0.633250245635601,1.1043501107455
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.782762113834608,NaN,NaN,1.41328117647628
3.5,0.000603609384646305,0.140882937927443,NaN,0.00296149616402772,NaN,NaN,0.00262705947025878,NaN,0.915441220326107,NaN,NaN,1.12058861690652,NaN,NaN
4,NaN,NaN,0.00718189518940306,NaN,1.04707505995662,0.00540114526134928,NaN,1.06634252323966,NaN,1.29945985279017,NaN,NaN,0.482166076955614,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.756799388511789
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.397377339699976,0.84310958188947,NaN,NaN
7,NaN,0.117040870997586,NaN,0.0139513718475204,NaN,NaN,NaN,NaN,1.020252586499,NaN,NaN,NaN,NaN,NaN
7.5,0.000421651851434916,NaN,NaN,NaN,NaN,NaN,0.00290048678375998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.0107097541226705,NaN,0.642715241290739,NaN,NaN,NaN,NaN,1.44433706478303,NaN,NaN,1.02844882088104,NaN
8.5,NaN,NaN,NaN,NaN,NaN,0.00293268752474988,NaN,0.902703602308978,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.42853352847609
10,0.00018774631216545,0.11469089531075,0.00337378955556841,0.0134697166275919,0.419527793818449,NaN,0.00304130757156507,NaN,1.13807234401876,0.79880826365326,0.98701393783973,1.23663480182766,0.988366811529195,NaN
15,0.00035966734171564,0.0520000093348726,0.00361307345079415,0.0106016422416606,0.362793157793321,0.00520306203479825,0.00390143628149854,0.501730159963422,0.508990456997539,NaN,1.25217657750272,0.47456774109167,1.13724573939831,1.12157896738692
20,0.00019234203379795,0.088242887990168,0.00478287862219541,0.012630119652517,NaN,0.00381769580573166,0.0022911142085664,1.0005114893526,0.562154751560996,0.544570248526801,1.02650360201062,0.790886951330689,NaN,0.473871483191505
25,0.000746595292429113,0.0268049132355329,NaN,0.0158812811755791,0.892587185796535,0.00669013208263591,0.00509880886728319,0.639600122344129,1.20154537425083,1.42831059761729,0.796483178149475,1.12363178083505,0.686021390134935,0.817747092344286
30,0.000718462566356695,NaN,0.00485711626640375,0.0196201767531061,0.659076304427301,0.00351584957875706,NaN,0.57013407803948,NaN,0.492298947628028,NaN,0.678487553368259,1.39419272265084,0.931352991690517
35,0.000477724467284448,0.0245094009449262,0.00587854756139562,NaN,NaN,NaN,0.00139284687868122,NaN,0.969844312151623,NaN,1.27484192369193,0.758170702029406,NaN,0.838737244753183
40,NaN,0.0281987746395545,0.00783692283461887,0.0152608536443134,1.0109622223296,0.00651755267152591,0.00481963828210412,1.06674540087765,0.955709113608235,1.07875157771444,0.677309342532529,0.76518685519422,0.362302343831254,NaN
45,0.000435406727244116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.824905184349353
50,NaN,-0.0350334428626025,0.0072354489120965,0.0133277901922174,0.694092988119985,0.00395913400202399,0.00382184848344354,0.927049874313485,1.33564785219038,0.756134088106749,1.11921262326021,0.847136955001663,1.18713287987491,0.933080842205664
55,0.00076862159799991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,0.000536760978965832,0.0303910945154952,0.005159883579652,0.0194227842038745,0.634807142969088,0.00453735711308027,0.00292053626411763,0.820142421534656,0.648302730460078,0.828649536013518,NaN,0.936299327506806,0.791816888559971,1.07119833612332
