t,AC_Obs,RIIp_C_2_Obs,Sp8_Br_cAMPS_Obs,AC_Fsk_Obs
0,1.06652470127802,0.102443580060142,0.0407630918690584,-0.0449542602667199
7.5,1.11086167688042,NaN,NaN,NaN
9.5,NaN,NaN,-0.0177291921265625,NaN
15,0.925669145531763,0.144013841851224,NaN,NaN
20,NaN,NaN,0.0578745020081582,0.0431542374983449
25,0.847669837555027,NaN,NaN,NaN
30,NaN,0.158684562836681,-0.156048975565593,NaN
35,0.911512319267634,NaN,NaN,NaN
40,NaN,NaN,0.0841833045421623,NaN
45,NaN,0.140184716652817,NaN,0.0479178050171174
50,0.881697313760057,NaN,NaN,NaN
55,NaN,NaN,-0.251260973354873,NaN
65,NaN,0.134355620068974,NaN,0.0413868183027659
70,NaN,NaN,0.0242809131351193,NaN
85,NaN,0.146143566364626,0.00698188518453396,NaN
90,NaN,NaN,NaN,0.052614002319815
100,NaN,0.137925905452612,-0.0388974432946009,0.0239011675974344
150,NaN,0.161962620854572,0.15772291075277,0.144933421454621
200,NaN,0.125408257669997,NaN,0.115132965952155
250,NaN,NaN,NaN,0.0928017871886049
300,NaN,NaN,NaN,0.0718960238380476
350,NaN,NaN,NaN,0.0191677835169781
450,NaN,NaN,NaN,0.13851386817249
