t,Csub_Obs,RIIp_C_2_Obs
0,0.120368666612534,0.13423508111913
10,NaN,0.146611392934711
20,NaN,0.163325921377173
25,0.121829935247671,NaN
35,NaN,0.146619316839882
45,0.0798597523601165,0.124223701301992
60,NaN,0.100543055371397
70,0.127944585229141,NaN
80,NaN,0.0274467839762847
95,0.139599780582565,NaN
100,NaN,0.0371363342027749
150,0.0721993644181147,0.018053888716821
200,0.0715803697736856,NaN
250,0.0440907794332368,NaN
300,0.0526873687281192,NaN
350,0.048053295587443,NaN
450,0.0286121764851258,NaN
