t,Csub_Obs,RIIp_C_2_Obs,Sp8_Br_cAMPS_Obs,AC_Fsk_Obs
0,0.15380650879512,0.135835212286091,-1.00679028815189,-0.15375736140584
3,NaN,NaN,NaN,0.0940212445615289
3.5,0.166802449544332,NaN,NaN,NaN
4,NaN,0.0499631126665948,NaN,NaN
4.5,NaN,NaN,3.23375265112622,NaN
6,NaN,NaN,NaN,-0.0091419950757134
7.5,0.180339089012768,NaN,NaN,NaN
8.5,NaN,0.0249012617064162,NaN,NaN
9,NaN,NaN,5.81204443960037,NaN
9.5,NaN,NaN,NaN,-0.144425026227133
10,0.187964093880435,NaN,NaN,NaN
15,0.192372360104718,0.0161948073842256,7.50807876810385,-0.0363245652576662
20,0.210006463731927,0.0147649243674548,7.32483050630212,0.015443172407838
25,0.201561329232855,0.00874114934184146,8.85801968198431,NaN
30,0.193996279196139,0.00808270542276294,9.39895463620827,0.0885863911950619
35,0.187478702448823,NaN,NaN,NaN
40,NaN,0.0102209581158756,10.2319828335451,NaN
45,0.19195237863002,NaN,9.43269887503867,NaN
50,0.218289254961337,NaN,NaN,NaN
55,NaN,NaN,9.37142027862627,NaN
60,0.201978442798842,NaN,NaN,NaN
70,NaN,NaN,10.2018332273606,NaN
75,0.17963942268034,NaN,NaN,NaN
80,NaN,NaN,10.5048793794206,NaN
