t,Csub_Obs,RIIp_C_2_Obs
0,0.151688195221762,0.133214925557166
4,0.130369703083023,NaN
7,NaN,0.144447114934385
8.5,0.143069629480554,NaN
15,0.133037892022321,0.162194771073819
20,0.129463326252466,0.146055897622172
25,0.118140379909949,NaN
30,0.100256119204759,0.137376582489975
35,NaN,0.126466399741957
40,0.147697044277247,NaN
45,0.144676419972938,0.142825774584968
55,0.114416743136944,0.133757885835789
70,NaN,0.0482450419485439
80,NaN,0.0628205111181535
95,NaN,0.0565377437131302
100,NaN,0.0527225746964588
150,NaN,0.0730090458645174
