t,Csub_Obs,RIIp_C_2_Obs
0,0.116454328571965,0.143130635579212
7,0.157560492278569,NaN
10,NaN,0.148195303341657
15,0.119114434752921,NaN
20,0.170472948908697,0.141664071114363
30,0.157548503261066,0.131881883383157
40,0.108156857251641,0.132705002659262
50,0.143217456852843,NaN
55,NaN,0.123400574794919
60,0.117606051330518,NaN
70,NaN,0.0345258615387573
75,0.197898361134216,NaN
85,NaN,0.0354688019565296
90,0.211656198464357,NaN
100,0.19874836818732,0.0203254042073876
150,0.206468739925326,0.0274259740862012
200,NaN,0.0223877173367772
