t,Csub_Obs,RIIp_C_2_Obs
0,0.148449463033495,0.147243037027385
10,NaN,0.150041071266142
20,NaN,0.138958983803615
25,0.144327967462815,NaN
35,NaN,0.135612486252828
45,NaN,0.143304205024657
50,0.117616677052369,NaN
60,NaN,0.140017860151947
75,NaN,0.049181152450443
80,0.159185320843931,NaN
95,NaN,0.0171106492171459
100,0.179519765289081,0.0287830502338201
150,0.131161995927173,0.0293179502088117
200,0.105805537635858,NaN
250,0.130698710472026,NaN
300,0.0953499383177145,NaN
350,0.0721902459012806,NaN
450,0.0668863147358978,NaN
