t,Csub_Obs,RIIp_C_2_Obs
0,0.119214069228408,0.13220666317016
6.5,0.134036387309655,NaN
9,NaN,0.130263048412932
15,0.128073346731525,NaN
20,0.107538073505952,0.127260033115159
25,0.15448238279153,NaN
30,NaN,0.12875195906982
35,0.106502176952548,NaN
40,NaN,0.13597930943265
45,0.145900969639116,NaN
50,NaN,0.149124386285031
55,0.142464929698332,NaN
65,0.17530474063224,0.0155344437512551
80,0.201805272110273,0.0205787393301492
95,0.246914660065209,NaN
100,0.206778803957334,0.0295188867919721
150,0.25411889027371,0.00685875028251458
