t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,0.0545404746566586,3.58718471229993,2.95519050925259
0.2,NaN,2.52747376421185,NaN
0.25,0.1416461942596,NaN,NaN
0.4,NaN,1.59149342130675,NaN
0.5,0.0427254759606524,NaN,NaN
0.6,NaN,1.64466202958813,NaN
0.75,0.0369911722174382,NaN,NaN
0.85,NaN,0.847368218704158,NaN
1,0.0724367637477843,3.18907233859371,NaN
1.5,0.0449188719309117,1.59090263678639,13.1102620088565
2,0.0587805346576365,0.843492302725628,NaN
2.5,0.0399684915208407,2.34667371654543,20.5439113677142
3,NaN,1.69327930444293,NaN
3.5,0.073468255373624,2.28536754254736,NaN
4,0.0633608219834899,NaN,33.5067022620521
4.5,0.0539350681469384,NaN,NaN
5.5,NaN,NaN,16.8854015414849
7.5,NaN,NaN,23.3571100970269
9.5,NaN,NaN,26.6930734957135
10,NaN,NaN,66.0788989431871
15,NaN,NaN,64.1766633014372
20,NaN,NaN,23.6062707646322
