t,Y_protein_Obs,Z_protein_Obs,GFP_Obs,GFP_mRNA_Obs,Compound_1_Obs
0,1875.56119800017,199.326635616546,2.04246245216434,7.17214480140666e-06,1956.81661022435
6,NaN,NaN,NaN,-4.6442590113701e-07,NaN
10,NaN,NaN,NaN,2.29357192491515e-07,NaN
20,NaN,NaN,NaN,2.66765947593807e-07,NaN
25,NaN,NaN,NaN,1.78940473878443e-07,NaN
30,13213.7829751777,NaN,3.10913925864314,NaN,27307.4950768782
35,NaN,12860.0550550488,NaN,3.17253661376579e-08,NaN
40,NaN,NaN,NaN,1.58439524708079e-07,NaN
55,NaN,NaN,NaN,-5.15298780547602e-07,NaN
60,4788.81343985066,NaN,-0.0299221214979255,NaN,16195.6153056812
65,NaN,NaN,NaN,-2.60957482735723e-07,NaN
70,NaN,4766.27280324224,NaN,NaN,NaN
90,2583.71196281741,NaN,NaN,NaN,NaN
95,NaN,NaN,10.9115391900484,NaN,6813.51862519028
100,NaN,3671.01841621707,NaN,NaN,NaN
150,-191.46356870354,518.34866012682,8.890180288259,NaN,-86.6201027444513
200,952.652109900595,707.766932256794,24.2863535445288,NaN,250.753994171247
250,58.4250346156332,379.816795782609,NaN,NaN,623.861677604432
300,630.957646804679,NaN,12.9287161875359,NaN,-3873.41742595894
350,NaN,697.966233269956,16.8309672135581,NaN,NaN
400,419.768445676558,696.128946339917,NaN,NaN,-2649.51580085422
450,170.059736898908,NaN,16.9308760474956,NaN,NaN
500,NaN,-745.562210360972,NaN,NaN,NaN
