t,EpoRJAK2_Obs,STAT5_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,PTPAct_Obs
0,3.76480856653264,75.7239781637764,0.0496350580807159,0.632099927499154,-0.000398515797390323
15,NaN,0.0735777481813983,NaN,21.6604648633876,NaN
20,2.64540549824924,NaN,0.913025868568245,NaN,0.00257705812397639
30,NaN,3.67756656505347,NaN,26.1557596458895,NaN
40,NaN,NaN,NaN,NaN,0.00425200132775203
45,2.39870430762743,3.08249411745896,0.877916854461492,24.7972686304977,NaN
65,NaN,1.18646229960082,0.775151779453531,17.6874060933206,0.00544008112310444
70,2.22607147267818,NaN,NaN,NaN,NaN
85,NaN,0.377605590418843,NaN,23.6180371061802,NaN
90,NaN,NaN,1.01859609891684,NaN,0.00686318484100485
95,2.46695088280435,NaN,NaN,NaN,NaN
100,2.40833426814621,1.17775370832914,1.11528300148139,22.0759799976833,0.00619633409922446
150,2.56374960173678,0.280219492916787,1.05357673961284,20.9415283428523,0.00806488078884752
200,2.21001319201876,NaN,0.91809716118581,NaN,0.010595622790044
250,2.00925711609763,NaN,0.978650755907074,NaN,0.00978429374534312
300,2.70121677403203,NaN,0.979240074336012,NaN,0.0108106794901263
350,2.59730463966616,NaN,0.962858743560117,NaN,0.0105927144940129
