t,epo_level,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs
14,2.5e-09,0.0193901777066693,0.00784654502105561,0.0252374751610825
14,2.5e-09,0.0148324624994993,0.0117498178703117,0.0251507645336988
14,2.5e-09,0.0196459874801249,0.010422031572113,0.0356027842612317
14,2.5e-08,0.016700398517593,0.0103316882421051,0.0348365136971357
14,2.5e-08,0.015683885104827,0.00823137056656695,0.0287606142808092
14,2.5e-08,0.0191834495825903,0.0118162232836533,0.0313965455395658
14,2.5e-07,0.00891537602638121,0.00762573206881945,0.024797085816468
14,2.5e-07,0.0128800512542345,0.00740365451923154,0.0361951851573417
14,2.5e-07,0.0112589968664887,0.00625742209694557,0.0399617082528248
14,2.5e-06,0.00280458214781607,0.000515755808396532,0.0114259671160445
14,2.5e-06,0.00288134320859677,0.000296207512922765,0.00194670154090442
14,2.5e-06,0.000351576540269185,0.00134716306090157,0.0124369766810249
14,2.5e-05,-0.000114347542402622,0.00109740194295375,0.00376085587401483
14,2.5e-05,0.00196759141277703,0.00186526217442382,0.00902787153577972
14,2.5e-05,0.000592014653647253,-0.000773970775003949,0.0131445782797871
