t,EpoRJAK2_Obs,STAT5_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,PTPAct_Obs,EpoRpJAK2_Obs
0,3.5699223620232,76.03130879773,-0.168892384131438,-1.28208097061793,-0.000912878892046252,0.0204678302297081
15,NaN,-1.40141518624798,NaN,12.7763589053301,NaN,NaN
20,2.47629479551643,NaN,1.1908397872557,NaN,NaN,0.164535047272886
25,NaN,NaN,NaN,NaN,0.00273918711385919,NaN
30,NaN,0.610960695004405,NaN,29.0582486164859,NaN,NaN
35,2.7835337439822,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,0.908076391399496,NaN,NaN,0.178988987500151
45,NaN,NaN,NaN,26.3624419659191,NaN,NaN
50,NaN,5.12941536939467,NaN,NaN,0.00446402874884556,NaN
55,2.8189955090401,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.160187944354161
65,NaN,NaN,1.15506962361829,23.5931811280465,NaN,NaN
70,NaN,-0.542229465673012,NaN,NaN,NaN,NaN
75,1.18837829963076,NaN,NaN,NaN,0.00721972694324761,NaN
85,NaN,NaN,NaN,NaN,NaN,0.170757723986836
90,NaN,NaN,0.904168431538837,19.4935861318213,NaN,NaN
95,2.19403496490326,-6.34702730197029,NaN,NaN,NaN,NaN
100,1.95663042814297,0.106898720796273,0.801405469812501,20.8009484993625,0.00715755592432369,0.141050844143142
150,3.55477901839344,-1.42938756599211,0.727049558213108,30.9781553876937,0.0109150174990671,0.0944134205267001
200,2.60373859639664,NaN,0.918706990636704,NaN,0.0102183912402229,NaN
250,1.80700893186373,NaN,1.18056198789076,NaN,0.00948869805225316,NaN
300,2.21730094524628,NaN,0.468411935215595,NaN,0.00811731955061172,NaN
350,3.2382812258818,NaN,0.654033178233552,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,0.00926232812495105,NaN
