t,CISHnRNA1_Obs,SOCS3RNA_Obs
0,9.43500892469557e-05,0.0123046551256968
25,NaN,0.0198607956482342
50,NaN,0.0150764237499136
55,0.000471214178600296,NaN
75,NaN,0.014459697728185
100,0.000410108990992542,0.0135049514344507
150,0.000398893984541435,0.0140083414909036
200,NaN,0.0122001523168298
250,0.000357430824272923,0.013464587085356
300,0.000334882355994303,0.0124831755298553
350,NaN,0.0117587104163547
400,0.000351111423062012,NaN
500,0.000362265776532976,NaN
600,0.000360728298924446,NaN
750,0.000380603225752718,NaN
