t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,75.4917554968766,9.18686681600272e-05,0.000116063847796393,0.000636711104329212,0.00962437452201761
10,75.9473383153681,NaN,NaN,NaN,NaN
15,NaN,4.63158284172894e-05,NaN,0.000521013532659454,0.00965824857334513
20,NaN,NaN,0.000108275036652996,NaN,NaN
25,77.2458366996748,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.000425844333695837,NaN
35,72.2325686637194,0.000695529460218754,0.000638470167420646,NaN,0.011224997441111
45,NaN,NaN,NaN,0.00193309529413475,NaN
50,81.994827106671,0.00104399070960685,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.0118098351013874
60,NaN,NaN,0.0009973835172555,NaN,NaN
65,NaN,NaN,NaN,0.00363107441811792,NaN
70,70.8834149598152,0.00101692377544652,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0111975724086563
80,NaN,NaN,0.000936368547608439,NaN,NaN
85,NaN,NaN,NaN,0.00475584459516626,NaN
90,76.8613886169686,0.000765454236633009,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.0125388206131478
100,67.6675223664705,0.000662139377231478,0.000772974092948071,0.00478712681819022,0.0125080339315427
150,70.4966982620214,0.000566592376191876,0.000426633695955369,0.00360688452230818,0.0109106650467721
200,72.172897098347,0.000434998873431101,0.000399635852259964,0.00272352666272141,0.0124302332088364
250,NaN,0.000392922290836216,0.000372358903119441,0.00220200568717788,0.0115973780953372
300,NaN,NaN,NaN,0.00263479070760839,NaN
