t,STAT5_Obs,CISHnRNA1_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,71.9174261681899,0.00148322246746292,0.00188037469056571,-0.000381726271992073,-0.00234585445681471,0.00972253287800858,0.0456579393359126
15,0.798736568790376,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.0304825503382349,0.0227651655368637,NaN,NaN,0.0410053681977954,NaN
25,4.65813397676702,NaN,NaN,0.0286731084111822,NaN,NaN,NaN
40,13.3380827078239,NaN,0.0389507646473303,NaN,NaN,NaN,0.121253374185086
45,NaN,0.0318110500412686,NaN,NaN,0.125577123993359,0.0599090566930119,NaN
50,NaN,NaN,NaN,0.0329337232062369,NaN,NaN,NaN
55,22.8526038164655,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,0.0267170766788084,NaN,NaN,NaN,NaN
70,37.1254044779961,0.0248187729505242,NaN,NaN,NaN,0.0425488841873774,NaN
75,NaN,NaN,NaN,0.0233304561676164,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.20698762975072
85,NaN,NaN,0.0198681167297767,NaN,NaN,NaN,NaN
90,40.9148563249911,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.0172490108100281,NaN,NaN,0.150165278219452,0.0334650113989004,NaN
100,43.7976652697294,0.0161176440493466,0.0162048289769473,0.0189087949124207,NaN,NaN,0.191409542298405
150,44.6929277836998,0.0112238604618688,0.0170955480017772,0.0151703764314291,0.0953098093692948,0.0251254562529387,0.134742991346503
200,38.362417472514,0.0149358105855657,0.0153597880224143,0.0167991117124953,0.0976483160961214,0.0331557055697773,0.155487417764068
250,43.0109552880128,0.0166322365759808,0.0158825271125432,NaN,0.0924657125192574,0.0270917707215199,NaN
300,NaN,0.0147205422872728,0.0174385326596382,NaN,NaN,0.029763476024997,0.156949903312493
350,NaN,0.0169131052718795,0.0168598320834108,NaN,0.0969858020009113,NaN,0.142507137721464
400,NaN,NaN,NaN,NaN,NaN,0.034086834205645,NaN
450,NaN,NaN,NaN,NaN,0.0874809407667585,NaN,0.149915225212286
550,NaN,NaN,NaN,NaN,0.0925309208580591,NaN,0.124929587109688
650,NaN,NaN,NaN,NaN,NaN,NaN,0.150042426838773
700,NaN,NaN,NaN,NaN,0.0933825158948462,NaN,NaN
