t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,11.9359957031992,5.96376641803338e-05,9.60441789414665e-05,0.000481063686046265,0.000946579745981575
15,10.9906899399949,NaN,NaN,0.00019938066881645,NaN
20,NaN,0.000145991176885044,NaN,NaN,NaN
25,NaN,NaN,0.000139365072002227,NaN,0.00137318270930819
30,8.64850614568127,NaN,NaN,0.00045348001018329,NaN
45,8.69279811630567,0.000135387854098636,NaN,0.000557235582419856,NaN
50,NaN,NaN,0.000164249826381774,NaN,0.00131958686998523
65,6.08859010416994,0.000139927346521664,NaN,0.000405883468506305,NaN
75,NaN,NaN,0.000160032794481346,NaN,0.00141682170526445
85,8.64752454240841,NaN,NaN,0.000526553035239732,NaN
90,NaN,0.000123790082678833,NaN,NaN,NaN
100,13.1937468473405,0.000129655129317381,0.000166563807542224,0.000686242389804179,0.00123394806271255
150,10.2332286599502,9.43997026375217e-05,0.000158253267845607,0.000596978484508062,0.00140408271838597
200,11.4253540279211,0.000159006842466037,9.03373089699333e-05,0.000555336642587365,0.00180764572260099
250,10.6547792257882,0.000128389441450836,0.000117789327016143,0.000503748205154691,0.00148700272137605
300,10.3345459922078,0.000106963008644357,0.000100310737258617,0.000703221239293723,NaN
