t,epo_level,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs
45,2.5e-09,0.00566901233322602,0.0110095693540251,0.0231820746129179
45,2.5e-09,0.00594825874605594,0.00617182688581764,0.0181223344750291
45,2.5e-09,0.00644882109892022,0.00594749659064319,0.0179666887276909
45,2.5e-08,0.0269540977034917,0.0289326530292723,0.0468060921877815
45,2.5e-08,0.030505133703468,0.0324077790397188,0.0462602624319651
45,2.5e-08,0.0320061023290777,0.0299755136460496,0.0587912458528275
45,1.25e-07,0.0350983229575239,0.0383542036516014,0.0479493504468485
45,1.25e-07,0.0354803101433765,0.0326831555933294,0.0603355802805443
45,1.25e-07,0.0364459130368483,0.0376659658396717,0.0542689298070221
45,2.5e-07,0.0351722607218482,0.0323647591266674,0.0625355076491666
45,2.5e-07,0.0357097032602829,0.037022154038201,0.0527180928849119
45,2.5e-07,0.0358725976706639,0.0399809951008308,0.0591734740086778
45,1.25e-06,0.0338281963698586,0.0403230865251328,0.0550397158782904
45,1.25e-06,0.0358862379858067,0.0352912481796899,0.0596446093593537
45,1.25e-06,0.0403082443604092,0.0420827920899501,0.054829412737341
45,2.5e-06,0.0360894968481595,0.038236992563301,0.0620355523314311
45,2.5e-06,0.0367965706383287,0.0368240546462965,0.0523404125177539
45,2.5e-06,0.0398243203256799,0.03498147741848,0.0621377478665671
