t,CISHnRNA1_Obs,SOCS3RNA_Obs
0,9.97534092312685e-05,0.0123101653424133
50,0.000555690008016987,NaN
55,NaN,0.0160075606499439
100,0.000458023720299682,0.014657305361005
150,0.000415927286802247,0.0129517469650355
250,0.000404169076401909,0.0121310079609604
300,0.000410488343340139,0.0118466636859241
400,0.000356486232997379,0.0131610869177165
500,0.000395103536075157,0.0145093705198047
600,0.000381726598474031,0.012858474144202
700,NaN,0.0120410925853828
750,0.000377700751679975,NaN
850,NaN,0.0143259096977023
