t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,9.97143610154291,9.03049128155553e-05,7.32289557373773e-05,0.000394387247011323,0.00119379325816022
15,8.89708532021726,NaN,8.46960322643985e-05,0.000326093003533448,NaN
20,NaN,0.00012228325849028,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.00136830515879057
30,8.55213817406593,NaN,0.000129229374933496,0.00037990291936072,NaN
40,NaN,0.000166657689452514,NaN,NaN,NaN
45,9.05625121337022,NaN,0.000148382763832063,0.000397958804722631,0.00130653417528128
60,NaN,0.000142755636593017,0.000140197724201927,NaN,NaN
65,9.27260656990911,NaN,NaN,0.000461473241150572,NaN
75,NaN,NaN,NaN,NaN,0.00129524817361476
80,NaN,NaN,0.000131096186969021,NaN,NaN
85,8.87284771663225,0.000136448401996596,NaN,0.000537513832957674,NaN
100,8.77366572916406,0.000128118559096208,0.000135374462221649,0.000583600520330704,0.00122645684031183
150,9.74509301436628,0.000114377708471845,0.000128516002222667,0.000531411013658322,0.00133857462586459
200,9.96703218614588,0.000109617312189591,0.000131809461687478,0.000504715361499791,0.00147900939586098
250,8.58861443402005,0.000127395751628194,0.000122376314155612,0.000437221512511493,0.00115138825791535
300,8.99911919212282,NaN,NaN,0.000559669355333146,NaN
