t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,8.62253183500437,0.000159175504161348,1.70204085417997e-05,0.000564044197268582,0.000962527790736498,0.0106911986355022
15,1.37881982483261,NaN,0.000300070399541883,NaN,NaN,NaN
20,NaN,0.000791916342674712,NaN,0.000130348041096902,0.00215763185073365,NaN
25,NaN,NaN,NaN,NaN,NaN,0.0208813982002289
30,2.4061252835785,NaN,0.000599534785275254,NaN,NaN,NaN
40,NaN,0.000395336968649283,NaN,NaN,0.00116202024360918,NaN
45,NaN,NaN,NaN,0.000850060670261962,NaN,NaN
50,2.8747722859378,NaN,0.000396096842028136,NaN,NaN,0.0090306875901454
60,NaN,0.000451600136527842,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.00144662221458754,0.00124144726425493,NaN
70,3.52086216456791,NaN,0.000624561444941895,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0142642623207468
85,NaN,0.000411266172874135,NaN,NaN,NaN,NaN
90,3.26731482132128,NaN,0.000486532765266418,0.00198319847005636,0.00113790106408278,NaN
100,2.90745796209062,0.000443881527272404,0.000551138266366804,0.0015816097803514,0.00156131461976776,0.017591517513881
150,3.19196428363685,0.0003421162004613,0.000488351126454856,0.00127425933929387,0.00155507416086765,0.0120870968007529
200,6.12950781448457,0.000330861329049809,0.000302878905294186,0.00136449496383123,0.00132128298882559,0.0101324154445937
250,3.48731475164349,0.000410610587165167,NaN,0.00106600315030564,0.00154380946372154,0.0193412782766726
300,4.72504789791645,NaN,NaN,0.00116748620816371,0.000655538956234585,0.0167118722026192
350,NaN,NaN,NaN,0.00151092444962158,NaN,NaN
450,NaN,NaN,NaN,0.00158696785812258,NaN,NaN
