t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,9.80360844212681,0.000138390842087237,9.65368935492744e-05,0.000465405674968944,0.0011586902346457
15,1.85264886102596,NaN,NaN,NaN,NaN
20,NaN,0.000807327802411196,0.000641535853067698,0.000422008201394863,0.00217099194352389
35,2.32545514397287,NaN,0.000656659819731675,NaN,NaN
40,NaN,0.000545282989463448,NaN,NaN,0.0012900919778325
45,NaN,NaN,NaN,0.0010030439438857,NaN
55,2.8089561172347,NaN,0.000445449459469994,NaN,NaN
60,NaN,NaN,NaN,NaN,0.00143347726112357
65,NaN,0.000457396448094814,NaN,NaN,NaN
70,NaN,NaN,NaN,0.00144021776674602,NaN
75,3.06803973430328,NaN,0.000438187975520032,NaN,NaN
85,NaN,NaN,NaN,NaN,0.00112798336491472
90,NaN,0.000426877068647082,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00162499498612611,NaN
100,3.54456455112137,0.000402593706829154,0.000419787075605746,0.00179131965845492,0.00136275747567371
150,4.10218669782575,0.000366525848773155,0.00042922488595512,0.00174118744113812,0.00124871090165414
200,4.92346721003588,0.000424025764227383,0.000344432084983699,0.00182325226684884,0.00113423774462386
250,4.86518045436483,0.000346031764055469,0.00037673420957449,0.00158183868272579,0.00121563445752142
300,5.03017941674111,NaN,NaN,0.00168280872274875,NaN
350,4.48802260851244,NaN,NaN,0.00156189813054802,NaN
450,NaN,NaN,NaN,0.00184067782906954,NaN
