t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,71.4104493433974,-0.00153006405250339,4.07763138474707e-07,-0.0338645020955472,0.0174865525545322,0.0821846400133584
8,-9.98502277840165,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.038630211819359
10,NaN,0.00302071536907516,-0.00799373021888238,0.000546069690055206,0.0171974244276703,NaN
15,12.3756686675771,NaN,NaN,NaN,NaN,NaN
20,NaN,0.0245532321328029,0.019305400103738,-0.0120085543870427,0.0552121467610196,0.00602056353265084
25,-2.6460409369042,NaN,NaN,NaN,NaN,NaN
30,NaN,0.0299504650869429,NaN,NaN,0.0491601875025439,0.0914030916734897
35,27.7068533211481,NaN,0.0373694450242243,0.0385603158068145,NaN,NaN
40,NaN,0.0495209286365562,NaN,NaN,NaN,0.14086902225016
45,7.22009842366338,NaN,0.0386942311981954,0.138303904294378,0.0493714902869565,NaN
55,15.5585860679732,0.0291704664860621,NaN,NaN,NaN,0.14171460898667
60,NaN,NaN,0.0360829739981812,0.144652003153585,0.0333261551326415,NaN
70,32.161341234721,0.0332927652742007,NaN,NaN,NaN,0.227758168153923
75,NaN,NaN,0.0251903275481393,NaN,0.0365753093237851,NaN
80,NaN,NaN,NaN,0.136871498077376,NaN,NaN
85,40.1226980158485,0.0292527267324923,NaN,NaN,NaN,0.242812720363008
90,NaN,NaN,0.0230731531153459,NaN,NaN,NaN
95,NaN,NaN,NaN,0.12071141121491,0.0362361942750864,NaN
100,45.3519711211374,0.0237891353365891,0.0164375358946107,0.138952608674011,0.026360653041008,0.194231121469737
150,39.8604421469044,0.0107731136749467,0.00819189984059234,0.0996947307856501,0.0254452021615837,0.0865974629429387
200,37.079093277348,0.0109772549372569,0.00697638746312462,0.116054721579351,NaN,0.190518833804756
