t,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs
0,74.511757192481,0.000192488954874209,0.000324956672607812,0.00282419998250509,0.00958215252425959
6,29.7903673941716,NaN,NaN,NaN,NaN
7,NaN,0.000879535177254269,NaN,NaN,NaN
10,21.7543240291785,NaN,NaN,0.000343488785238402,0.0135551035836699
15,NaN,0.00985606725638437,0.00545627448382354,NaN,NaN
20,27.4501476516261,0.0141570514310469,NaN,-0.000758729458827093,NaN
25,29.7230447095468,NaN,NaN,NaN,0.0355430124934214
30,NaN,0.0210457089528481,0.0185815406211194,NaN,NaN
35,29.5140279460784,NaN,NaN,0.0465757937741831,0.0415063706012828
40,33.4288416311927,0.0219933492876023,NaN,NaN,NaN
45,NaN,NaN,0.0230437543065648,0.0747240701305032,NaN
50,43.2705059923387,0.0241211457699172,NaN,NaN,0.0392416074052576
60,NaN,0.0196748908429969,NaN,0.102279109830283,NaN
65,42.8075162486811,NaN,0.0188079334021644,NaN,0.032674511952699
75,52.8329536296089,0.014980095201231,NaN,NaN,NaN
80,NaN,NaN,NaN,0.102528791026301,0.0298461760425594
85,NaN,NaN,0.012559038976034,NaN,NaN
90,58.9615778866243,0.0109554500620223,NaN,NaN,NaN
100,54.8853556687098,0.00755785498464664,0.00872200175338502,0.0889000910512204,0.0213725892006174
150,65.2066691733902,0.00621015591002117,0.00653003600287118,0.0454767437726677,0.0159993648002724
200,NaN,NaN,0.00372246169013192,0.0337388615123956,0.0191092049920955
