t,STAT5A_Obs,STAT5B_Obs,pApB_Obs,pBpB_Obs
0,146.951621342931,60.7510564138458,-1.35384876306225,2.99400158675319e-08
15,40.0088388345022,NaN,17.0258402861829,1.29605666525601e-06
20,NaN,17.6394751608347,NaN,NaN
25,NaN,NaN,13.4631513442649,NaN
35,13.8592372790229,NaN,NaN,5.10875886667549e-07
40,NaN,NaN,10.7081712009,NaN
45,NaN,15.8038626463667,NaN,NaN
50,9.46463120558181,NaN,NaN,NaN
55,NaN,NaN,NaN,4.21274391365147e-07
60,NaN,NaN,7.56509369141869,NaN
65,NaN,8.26448290738671,NaN,NaN
70,26.2946565186367,NaN,NaN,NaN
75,NaN,NaN,6.41349757887826,NaN
80,NaN,NaN,NaN,1.35055775157575e-07
90,30.1246564600265,15.8940341906349,NaN,NaN
95,NaN,NaN,4.93799544285981,NaN
100,44.7633255802492,15.5381828237251,3.02226353928385,1.81407078628863e-07
150,73.5399773421913,16.1516742138888,3.1564527067131,6.0478578325877e-08
200,79.3448893830311,18.8718154361632,1.19684200512837,NaN
250,71.2208731841619,18.9305637945702,-0.190077388416356,NaN
300,92.1731712432373,22.2461701055689,NaN,NaN
350,100.92496177919,26.6699689319037,NaN,NaN
450,NaN,23.9214822988739,NaN,NaN
550,NaN,26.8341309475648,NaN,NaN
