t,PKD_Obs,PI4K3Ba_Obs,CERT_Obs
0,158709.228075874,231706.221713305,59334.7769110972
2.5,239666.864518983,3592116.15196211,NaN
3.5,NaN,NaN,32910.312311056
5,157893.972177487,9776060.60759448,NaN
7.5,NaN,7516950.86327355,84866.4584950669
8,200115.614191392,NaN,NaN
10,386799.502753505,1296844.70143034,90303.8709468413
15,385067.251747865,1369887.19436304,72181.440261795
20,189328.125511757,2467777.7216736,87116.5668604238
25,132883.67189113,19742398.3100678,891496.752511773
30,NaN,73860634.4216151,2290350.18464851
40,NaN,NaN,1513135.71752646
50,NaN,NaN,1476966.99564057
60,NaN,NaN,2677260.20565928
70,NaN,NaN,829258.840980685
