t,PKD_Obs,PI4K3B_Obs,PI4K3Ba_Obs,CERT_Obs
0,131282.173866033,2749896.51212036,82403.6431950367,14140.6577353933
2,NaN,NaN,54444.1909609491,NaN
3,NaN,1823961.64033148,NaN,NaN
3.5,406605.82088677,NaN,NaN,19268.1073962001
4,NaN,NaN,62601.4134364912,NaN
6,NaN,NaN,134056.703226743,NaN
6.5,NaN,2589428.3772388,NaN,NaN
7,NaN,NaN,NaN,25090.5298618283
7.5,330726.5704001,NaN,NaN,NaN
8.5,NaN,NaN,150199.829214334,NaN
10,136013.435606274,2213877.46220238,300093.019755771,50534.5806905499
15,1080400.95785971,5928825.62301149,105007.051717531,45546.9109259881
20,100308.691752597,3076295.28350344,79999.1924189087,74210.1640414032
25,342927.302889597,2342996.12739139,54788.6372418517,44755.4387322038
30,342259.375255054,2267542.49213043,NaN,75642.4858176607
35,NaN,NaN,NaN,47195.5792802694
40,637332.260935859,NaN,NaN,NaN
45,NaN,NaN,NaN,45479.5107024512
50,134064.830969504,NaN,NaN,NaN
55,NaN,NaN,NaN,223222.900859825
60,183196.774144125,NaN,NaN,NaN
65,NaN,NaN,NaN,82967.5239642306
