t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.333360313828743,0.0019892747998655
15,NaN,0.0296956263023712
25,0.147474608000861,NaN
30,NaN,0.0479252510651474
45,NaN,0.0341710665803184
50,0.156337924455731,NaN
60,NaN,0.0141175587750151
75,0.193143438457167,NaN
80,NaN,0.00257326000427652
100,0.170191149159244,0.00102642781747147
150,0.223199420233833,0.00182970456960862
200,0.244920996358291,0.000786520231728118
250,0.293082632530836,NaN
300,0.27416496179057,NaN
350,0.290387390204611,NaN
450,0.300056253794553,NaN
