t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.319252100511034,0.000675086755644009
10,NaN,0.0207977346376312
20,0.123899686341768,NaN
25,NaN,0.0658477476457714
35,NaN,0.0325763505475847
45,0.152632766778258,NaN
50,NaN,0.00677194125549411
70,0.204378301829753,0.0014039956714697
90,NaN,0.000257832220250515
95,0.217905503239888,NaN
100,0.208130382259987,0.000833196663151333
150,0.23583473187485,-0.000620558057686155
200,0.263651609906295,NaN
250,0.276633669190706,NaN
300,0.304860531168247,NaN
350,0.287101171124681,NaN
450,0.284853571977765,NaN
