t,input_il6,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,2.5,0.302305952130875,0.000788351070058971
0,2.5,0.302815147743189,0.000754190937188368
0,2.5,0.306844465399829,0.000754474338299036
0,2.5,0.321880701112608,0.000798343439315259
0,2.5,0.344885578524128,0.000759001580266161
0,10,0.322432205136741,0.000749351020078454
0,10,0.322559009422806,0.00075592692434068
0,10,0.326979850357567,0.000680560413166208
0,10,0.329203780104334,0.000677924683849776
0,10,0.3304275808617,0.000815511963337912
0,60,0.295492460298141,0.0007866955542734
0,60,0.312019736131399,0.0007298464840502
0,60,0.314333154563936,0.000823945948942821
0,60,0.321692627300187,0.00079500881002782
0,60,0.344053900050938,0.000794732677420947
0,120,0.293814387312259,0.000821122139680685
0,120,0.315489086662265,0.000806984443214518
0,120,0.325373060213484,0.00080947974049918
0,120,0.325530508814221,0.000762894070073501
0,120,0.328905674601106,0.000782667672631498
