t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.32807450095747,0.0008203137704004
10,NaN,0.0288835055003561
25,0.129431366816045,0.0688694516938544
40,NaN,0.0218469554969145
50,0.138888422949167,NaN
55,NaN,0.00435830950906163
70,NaN,0.00239512845349152
75,0.197975155528371,NaN
95,NaN,0.000537697285585404
100,0.220732854940256,0.000787384867514238
150,0.232942281185096,0.000966124872676961
200,0.261125620690232,NaN
250,0.287347168186212,NaN
300,0.300813557182472,NaN
350,0.309137884011425,NaN
450,0.319754166306727,NaN
