t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,SOCS3_Obs
0,0.304514488441458,0.00102146074823698,0.00648298944388388,31.4588829607045,-0.000889727421690551,0.00135386479490661,0.0232177473789424
9.5,0.193413842556148,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.101958915203245,NaN,0.0221068170189994,NaN,NaN
15,NaN,0.0271446469786686,NaN,19.5153369421282,NaN,0.0386516671273003,0.113870322322967
20,0.147060549985313,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.0240549838268945,0.135005447167083,19.0743967501934,0.0564499057729433,0.0604311843224468,NaN
30,0.12951084528576,NaN,NaN,NaN,NaN,NaN,0.934457109664545
40,NaN,0.0148642069869273,0.103539674318812,20.6754053853144,0.0407346346195582,0.0416512094622125,NaN
45,0.095721842881631,NaN,NaN,NaN,NaN,NaN,0.802941173133699
50,NaN,NaN,0.0838084240959131,NaN,NaN,NaN,NaN
55,0.0826070288038569,0.0134941686351903,NaN,23.6337502731966,0.0329384764218518,0.034243585774476,NaN
65,NaN,NaN,0.0875023186674371,NaN,NaN,NaN,0.580123190624056
70,0.0853723828055058,0.01302911144057,NaN,22.250038173418,0.0292929430398859,0.0260924268015276,NaN
85,NaN,NaN,0.069949227920133,NaN,NaN,NaN,0.494567515102005
90,0.0707174985889161,0.0121767137058122,NaN,23.6003406944143,0.024895849512777,0.0260904789872943,NaN
100,NaN,0.0122802679164167,0.0605920630090046,24.0827218737292,0.0233809432301792,0.0253160189877227,0.482211431310831
150,NaN,0.0103903821061429,0.0655534701855834,23.9529296402628,0.0245054938246885,0.0232915537819579,0.378407941706355
200,NaN,0.0110683907074042,0.0575145103648681,23.6758865010599,0.0238236505825078,0.0235866696095676,0.428381745973063
250,NaN,NaN,NaN,26.8091894272677,NaN,0.0221919993382805,0.376248378334122
300,NaN,NaN,NaN,NaN,NaN,NaN,0.38104605685237
