t,JAK1_gp130_Obs,pJAK1_gp130_Obs,nSOCS3RNA3_Obs,SOCS3_Obs
0,0.322738423104067,0.000686384851043524,0.000644144229251889,0.00719630361589648
20,NaN,0.00630485057903213,NaN,0.0536933869114415
25,NaN,NaN,0.0109514668946213,NaN
35,0.270929498313803,NaN,NaN,0.198078977728895
40,NaN,0.00529404791116065,NaN,NaN
45,NaN,NaN,0.0140473947960546,NaN
55,NaN,NaN,NaN,0.232214974122505
60,NaN,0.00541596573322539,NaN,NaN
70,0.252591107182227,NaN,0.0119986751780359,NaN
75,NaN,NaN,NaN,0.214000800305549
80,NaN,0.00497690329789486,NaN,NaN
100,0.222802373797571,0.00499115259144222,0.0103384420342756,0.188919169593474
150,0.208533110468979,0.00430043362808685,0.00944994677938041,0.169706155589841
200,0.192960588930897,0.00424254924542269,0.00979281035996048,0.161343145989105
250,0.177757368831551,0.00440647837020406,0.0086129466070241,0.154699735405599
300,NaN,NaN,0.0094056353417982,0.157783121019424
350,0.201938806965778,NaN,0.0085558964982562,NaN
450,0.159657810685348,NaN,NaN,NaN
