t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.312821812844177,-0.0013062113057881
4.5,NaN,0.00451457419362645
9,NaN,0.0211489496659155
15,NaN,0.0637945611444965
20,0.0916185216509418,0.0765428612170986
25,NaN,0.0700211897086391
30,NaN,0.0607121669440828
40,0.0557214470490236,0.00614865920675882
45,NaN,-0.00184659147745308
55,NaN,-0.00232452239088744
65,0.0387983292172926,NaN
70,NaN,-0.00014844358430041
85,NaN,0.000359560170597857
90,0.0347003685334257,NaN
100,0.0285663719399733,NaN
150,0.0210385586071095,NaN
200,0.0178818565884788,NaN
250,0.0144021364265255,NaN
300,0.0108392448731227,NaN
350,0.00143468402634454,NaN
