t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.334680301354394,-0.000125631358492674
15,NaN,0.0615510477528963
20,0.193955188124657,NaN
30,NaN,0.0329737658462224
45,0.180175756502074,NaN
50,NaN,0.00418668475851205
70,0.200476512180605,-0.000475168677565838
95,0.235050851165933,0.000790635677771196
100,0.198331651138702,0.000527918421157092
150,0.264482969391017,0.00113133998475143
200,0.268890824637804,NaN
250,0.279076830749978,NaN
300,0.314690823717766,NaN
350,0.302102747815565,NaN
450,0.318410212442581,NaN
