t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.329384939689445,0.000591360967992393
10,NaN,0.0144070936709986
25,0.255909011792291,0.0208788752355702
35,NaN,0.00797671073911705
45,0.276386512829765,NaN
50,NaN,0.00232806456405545
65,NaN,0.000779239202284033
70,0.255866197691029,NaN
85,NaN,0.000545332073539288
95,0.253214688688395,NaN
100,0.283062667628495,0.000427159584573544
150,0.29693068000626,0.000364189113152538
200,0.286392040053879,NaN
250,0.294087794509884,NaN
300,0.286609113126823,NaN
350,0.319202764597179,NaN
400,0.307043020163372,NaN
