t,JAK1_gp130_Obs,pJAK1_gp130_Obs,nSOCS3RNA3_Obs,SOCS3_Obs
0,0.318847508899262,0.000328751196614774,0.000767478548977839,0.013256636049168
3.5,NaN,NaN,NaN,0.0133429880044269
4,NaN,NaN,0.000460472561154238,NaN
7.5,NaN,NaN,NaN,0.0127056274734989
8.5,NaN,NaN,0.000114892431895325,NaN
10,NaN,NaN,NaN,0.0102877006880411
15,NaN,0.0293954135856265,9.74212387663016e-06,0.00513489730722752
20,NaN,NaN,5.97764339866323e-06,0.00141472411959132
25,0.0747493166245315,NaN,6.92482421990608e-06,0.000675128532918019
30,NaN,0.0242673062273806,5.83695573317069e-07,0.000330048294892844
35,NaN,NaN,-4.63024359429059e-06,0.000532920719623257
45,0.069093288993022,0.0215665858029725,7.70926020896565e-06,-0.000107843491678631
50,NaN,NaN,NaN,6.59673470520996e-05
55,NaN,NaN,-3.12923469155858e-06,NaN
60,NaN,0.020049779013109,NaN,0.000191520805783367
65,NaN,NaN,-5.892521331749e-06,NaN
70,0.0574401877444093,NaN,NaN,0.000121378154891199
80,NaN,0.0172588013203597,NaN,NaN
95,0.0491834759282287,NaN,NaN,NaN
100,NaN,0.0171348593081124,NaN,NaN
150,0.0336043932179087,0.00958702871690843,NaN,NaN
200,0.0263811290034278,0.00844557259774921,NaN,NaN
250,0.0159726669704735,0.00616141392443581,NaN,NaN
300,0.00748822541849749,NaN,NaN,NaN
350,0.0118110454937722,NaN,NaN,NaN
450,0.00208493815625266,NaN,NaN,NaN
