t,JAK1_gp130_Obs,pJAK1_gp130_Obs,nSOCS3RNA3_Obs,SOCS3_Obs
0,0.321888201629433,0.00103928849546437,0.00138819053904117,0.0109149626171721
10,0.255749951014997,NaN,NaN,NaN
15,NaN,0.0178829001784516,NaN,0.0361867649846979
20,NaN,NaN,0.0334773250724363,NaN
25,0.218499934670537,NaN,NaN,NaN
30,NaN,0.0154197320109218,NaN,0.589504769648883
40,0.161383137164331,NaN,0.0336158368693315,NaN
50,NaN,0.0107218635434268,NaN,0.585734089728505
55,0.127157957598175,NaN,NaN,NaN
60,NaN,NaN,0.0276339817477243,NaN
65,NaN,0.00951726441565967,NaN,0.494725969322629
70,0.131625717918841,NaN,NaN,NaN
85,NaN,0.00927288803712528,0.0216914802808124,NaN
90,NaN,NaN,NaN,0.4066240165018
95,0.0998375170923745,NaN,NaN,NaN
100,0.107023845641474,0.00927720878367696,0.0205263629324937,0.398736837213855
150,NaN,0.00974447372326462,0.018712987971808,0.328975765521853
200,NaN,0.00835893723621836,0.0183118414275087,0.313350028726044
250,NaN,0.0087095792411669,0.0191519316743748,0.343810800355021
350,NaN,NaN,0.0191438423766965,NaN
