t,input_il6,pJAK1_pgp130_Obs,STAT3_Obs
120,0,-0.00151296935764229,30.5986506464564
120,0,0.00649950472064265,30.1118149289087
120,0.5,0.0109430962142997,30.5771589030261
120,0.5,0.0111717450798511,31.8271057574628
120,1,0.0124271029312666,31.4536095879536
120,1,0.0174156003780489,30.1940412434031
120,2.5,0.0216229468312393,29.648593339431
120,2.5,0.0228608436091172,32.2394208083296
120,5,0.0376859588594289,31.2707403046265
120,5,0.0409524662810512,33.4568934413164
120,10,0.0475280506383764,30.8794159422235
120,10,0.0610688627788165,31.8129840597901
120,25,0.0989789275088157,29.8094717938366
120,25,0.104000283283349,28.4630558643684
120,50,0.133037742412856,28.3259966379209
120,50,0.134758114027915,27.5195767269274
120,100,0.150892557829149,28.3980225868374
120,100,0.152109465998714,25.5900569186763
120,500,0.172666107543839,26.6472604075723
120,500,0.173576092324675,27.190052350666
