t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.323751176524949,0.000275931768260285
15,0.0852048269524103,NaN
20,NaN,0.00195912522609578
25,0.0764316299510237,NaN
40,0.078695834303992,0.0757811373587672
55,0.0596426629420767,NaN
65,NaN,0.0387739538375013
75,0.0474412308276712,NaN
85,NaN,0.0323321659268449
95,0.0426159537419872,NaN
100,0.0427027238184578,0.0332055532949458
150,NaN,0.0287363016728964
200,NaN,0.0276763176669116
250,NaN,0.0257634623559189
300,NaN,0.0262285020589805
350,NaN,0.0273866328548272
450,NaN,0.0273075272025664
