t,input_ruxolitinib,nSOCS3RNA3_Obs
38,0,0.000744968683865049
38,10,0.000682886785939803
38,10,0.00070144239306688
38,50,0.000534642806745022
38,100,0.000393371470664706
38,200,0.000274790021357053
38,400,0.000166446316105502
38,500,0.000125676929115475
38,500,0.000127062677146612
38,500,0.000129322901341269
38,500,0.000134113834257576
38,600,0.000127191868436172
38,800,9.15379382155691e-05
38,800,0.000100578505254325
38,1000,5.49072530781203e-05
38,2000,5.38678040817687e-05
38,2000,7.33659532659837e-05
38,5000,5.69289081509873e-05
