t,JAK1_gp130_Obs,pJAK1_gp130_Obs,nSOCS3RNA3_Obs,SOCS3_Obs
0,0.315898968222285,0.00132957575995717,-0.000416476586877285,0.0395126418503025
8.5,NaN,0.0472518162465675,NaN,NaN
10,0.121092030124605,NaN,NaN,NaN
15,NaN,NaN,0.0612154555804526,0.330073796455463
20,0.0894512767766467,0.0304721876272166,NaN,NaN
25,NaN,0.0259574601518693,0.0716191300197773,1.11297424152044
35,0.0714487698041221,NaN,NaN,NaN
40,NaN,0.0186053742894961,0.0452391854352678,1.08382860600122
50,0.0608722292332723,0.0158386126716022,NaN,NaN
55,NaN,NaN,0.0351048926076596,0.747775362266463
65,0.0437100805891239,0.0135935007849831,NaN,NaN
75,NaN,NaN,0.03230734982341,0.619518442237282
80,NaN,0.0131486159222694,NaN,NaN
85,0.0464658833196942,NaN,NaN,NaN
95,NaN,NaN,0.0262641240992092,0.465968207196517
100,NaN,NaN,0.0306839602436775,0.526784524738293
150,NaN,NaN,0.0286698573396349,0.451505800093823
200,NaN,NaN,0.0261281731272589,0.460745826122394
