t,input_il6,pJAK1_pgp130_Obs,STAT3_Obs
2800,0.1,0.00330653633461076,28.184263529476
2800,0.1,0.0044081965235485,31.7856124732101
2800,0.5,0.0084697237390818,27.4798878145108
2800,0.5,0.0119240914569739,28.9771956671539
2800,1,0.00881108691649658,29.9355579203533
2800,1,0.0136569847797013,31.1713310672414
2800,2.5,0.0319394204370168,24.9571462792499
2800,2.5,0.035967943244058,23.2279137522512
2800,5,0.0739677772102597,22.204121969295
2800,5,0.0718072238205621,24.2012337347531
2800,10,0.0197000415022706,30.3083201738925
2800,10,0.0205320710805577,27.9041621013828
2800,25,0.0489813175015968,25.882632330451
2800,25,0.0490837086343099,22.4081619779812
2800,50,0.0210392917022195,27.1780452933185
2800,50,0.023771039366948,29.4507947921647
2800,100,0.0601837800191526,26.2019936004409
2800,100,0.066203818217611,22.7405079538027
2800,500,0.0816791450431837,21.2855593343533
2800,500,0.0861983172267367,22.5630325720636
