t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.309676612171507,0.000724251361225118
10,NaN,0.0139316796150876
20,0.273118502434333,NaN
25,NaN,0.0175223413631024
35,NaN,0.00662311006214695
40,0.274173777301519,NaN
50,NaN,0.00204171332091491
60,0.264414435636814,NaN
65,NaN,0.000966123361794365
85,0.28108474412296,0.000954423097006498
100,0.27170423099455,0.000797306557937693
150,0.314691670362978,0.000877119363151469
200,0.312481676384981,NaN
250,0.305628521995979,NaN
300,0.283757199720141,NaN
350,0.31680979760873,NaN
