t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.315069246621192,-0.00124593844676658
20,0.149446893429161,0.0551679729349516
40,NaN,0.0406645842436774
45,0.115799814811514,NaN
60,NaN,0.0312447995236581
70,0.0829414916093576,NaN
80,NaN,0.0272076376287864
95,0.0646439328105435,NaN
100,0.069179867837443,0.0255007143548716
150,0.128922517617576,0.00172263094366322
200,0.194410120500096,-0.000279997581610371
250,0.239404022508804,0.000291677576378601
300,0.249517555435619,0.00055822734954313
350,0.280756094718063,0.000477087782302071
450,0.30455037301478,NaN
