t,input_il6,pJAK1_pgp130_Obs,STAT3_Obs
450,0.1,0.000460800809015375,30.9420675470097
450,0.1,0.00100725353950108,32.2555523239982
450,0.5,0.000727275875757274,32.5802310049832
450,0.5,0.0038356838082557,31.9705858581485
450,1,0.00210723208066609,31.4714048719674
450,1,0.00502159518618884,30.1968568905838
450,2.5,0.00645976779814783,31.2416715515602
450,2.5,0.00676583054109138,32.4315459785325
450,5,0.0106498466939637,30.2369541613477
450,5,0.0107287777602019,27.31254013515
450,10,0.0162880432232374,28.7379550233533
450,10,0.0165514243420198,27.0479233506426
450,25,0.0281363424286882,25.6855003185785
450,25,0.0288586436878783,27.3881178634033
450,50,0.0377670768709087,22.8628099182349
450,50,0.0382382079123198,25.1084882448993
450,100,0.0472884850901281,22.4262122731559
450,100,0.0483474619236206,24.5235745310241
450,500,0.0664825179607296,23.7607160367411
450,500,0.0670112972770529,23.7340193460178
