t,input_il6,pJAK1_pgp130_Obs,STAT3_Obs
32,0.1,0.00200819030869531,34.3500525920525
32,0.1,0.00315689960236974,32.3906600307111
32,0.5,0.00254375071982947,31.6399629546763
32,0.5,-0.000460244228188946,31.6520287553609
32,1,0.0040975343411593,28.756697217591
32,1,0.00353012585963316,30.3200710069115
32,2.5,0.0178712760969105,29.0702283161731
32,2.5,0.0146037214839743,28.4801235127639
32,5,0.0799284677933015,22.5217167937143
32,5,0.0789356360754797,24.4006443221553
32,10,0.00622815228421536,30.5391756888222
32,10,0.00294657197136514,30.4280781026229
32,25,0.0307938655077123,27.2193054072403
32,25,0.033125022710061,25.5068067434304
32,50,0.0115873649921879,28.0598690246417
32,50,0.00727173972180597,30.5599995630732
32,100,0.0549816516914903,22.7908771193712
32,100,0.0538848408093729,25.4860752021458
32,500,0.130734279086396,18.0041070445043
32,500,0.129550866144169,20.6597648212767
