t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.328225219906171,0.00168052914162365
15,NaN,0.0393775844998057
20,0.234247411889433,NaN
25,NaN,0.0400077420206422
40,0.238637836322937,0.00954004075151137
55,NaN,0.0036145091395649
65,0.20242934678383,NaN
75,NaN,0.00129566683732176
85,0.263492697463487,NaN
100,0.204250559140521,-2.99863751476718e-05
150,0.23669187468791,0.000759763926360056
200,0.287566510064102,NaN
250,0.286391855392087,NaN
300,0.308541888948423,NaN
350,0.287542459285351,NaN
400,0.32454281134118,NaN
