t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.310757065431066,0.000759744304710662
6,NaN,0.00025282186861025
10,NaN,6.31463090578927e-05
20,0.0791682989427238,-4.34255020814201e-06
25,NaN,-1.22942763168156e-06
35,NaN,7.43707749167374e-06
40,0.077390899727496,NaN
45,NaN,-5.2318241395657e-07
55,NaN,3.0345556690098e-08
60,0.0591399435616403,NaN
70,NaN,8.95244887546092e-06
80,0.0619447385810169,NaN
85,NaN,-3.69046551828057e-06
100,0.0407945101226954,NaN
150,0.0363080908588028,NaN
200,0.0210342696839772,NaN
250,0.0185279121038715,NaN
300,0.0105299505004673,NaN
350,0.00391928781062131,NaN
