t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.30444561426563,0.00186838349301997
20,NaN,0.0754298989975637
25,0.080649003590353,NaN
40,NaN,0.0446681416408865
50,0.0504737451105223,NaN
65,NaN,0.0344101634977904
75,0.0598875983981668,NaN
90,NaN,0.0303497793668027
100,0.0936532493849724,0.0251251465242871
150,0.164964409164395,-0.000869042051618254
200,0.192561472168584,0.00224491903317678
250,0.233905334356701,0.00165044489338888
300,0.257368040587623,0.000883294893721112
350,0.273621759482286,NaN
450,0.307327175028055,NaN
