t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.319168559958633,0.000964296470109907
10,NaN,0.0151701224725723
20,0.149412415043093,NaN
25,NaN,0.0561937313913709
40,NaN,0.0251810269130783
45,0.167768694552003,NaN
55,NaN,0.0065841433571158
70,0.171087668527049,0.00217468004657375
90,NaN,0.000822010225167222
95,0.215365370067452,NaN
100,0.202666652290691,0.000802766974920001
150,0.27228755326009,5.35318090425811e-05
200,0.290111811517829,NaN
250,0.269459523333432,NaN
300,0.281847971243973,NaN
350,0.303942842180965,NaN
400,0.311110636505411,NaN
