t,JAK1_gp130_Obs,nSOCS3RNA3_Obs
0,0.327203307043877,0.00108281755069297
10,NaN,0.0382078438023758
20,0.192212825941282,0.0731496110774038
35,NaN,0.0183681957408597
45,0.182849118675573,NaN
50,NaN,0.00467337984041897
65,0.195578368570594,7.03945016840351e-05
85,NaN,0.00205730262029132
90,0.212329505566379,NaN
100,0.21823457576165,0.00176104879817441
150,0.247949220086143,-0.000882817417719004
200,0.258636754057931,NaN
250,0.301653264614467,NaN
300,0.308240591392513,NaN
350,0.297253655347388,NaN
400,0.310900305357955,NaN
