t,input_il6,pJAK1_pgp130_Obs,STAT3_Obs
530,0.1,0.00363654036128058,29.4498381951434
530,0.1,0.00610014172292834,32.2244158372103
530,0.5,0.00949859465709626,32.7842988250688
530,0.5,0.00954361078994721,28.8401067280162
530,1,0.00743003287253426,27.853365608367
530,1,0.010299293152672,30.549489735968
530,2.5,0.0121409580189466,27.1157117484165
530,2.5,0.0167872120499114,27.16298190539
530,5,0.0227164975028458,28.9441491311963
530,5,0.0250005501719052,25.0368382347155
530,10,0.0323222851990524,25.9183493096712
530,10,0.0393330198455786,26.0501436169021
530,25,0.0512217971244801,26.9047797804433
530,25,0.052251649230682,25.5551001770659
530,50,0.0631987130097496,24.8776007969179
530,50,0.0642770010907816,22.8712444790426
530,100,0.0712590814570858,24.0252282841376
530,100,0.071915648018574,25.9044480368904
530,500,0.0824215379356258,22.7709696621897
530,500,0.0849947306025396,23.2190201463834
