t,input_il6,JAK1_gp130_Obs,nSOCS3RNA3_Obs
11,5,0.281478710861185,0.00238929590736283
11,5,0.291192674787285,0.00216047450513797
11,5,0.297581283607831,0.00215061370820557
11,5,0.297656282388213,0.00375125811267586
11,20,0.226260259407019,0.00891631772518129
11,20,0.229381809743575,0.00945488484231346
11,20,0.238786638394269,0.00926245014729009
11,20,0.248227274096005,0.010390419890843
11,40,0.177238519543305,0.0191704340350361
11,40,0.183776756728919,0.0208937029336027
11,40,0.187805402054625,0.0194334419704156
11,40,0.191036516635678,0.0209933066375506
11,90,0.0894520124462136,0.039740789693106
11,90,0.0978545394438133,0.039126292965158
11,90,0.106620274314151,0.0388283703639859
11,90,0.116397011326379,0.0388372118728961
