t,tpSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs
0,0.499522067406097,0.00199973722665603,0.000540373049200289,0.00172473494302507
9,NaN,NaN,NaN,0.0208753149760405
9.5,16.7912139093781,NaN,NaN,NaN
10,NaN,0.0584100336899242,NaN,NaN
15,NaN,NaN,0.0873591026239677,NaN
20,13.3232975574253,0.0912144686194522,NaN,0.0947116085279872
30,9.85911598984645,0.0664133941990041,NaN,0.0741081091867671
35,NaN,NaN,0.051947822625976,NaN
40,9.76697650558902,NaN,NaN,0.0451407925748702
45,NaN,0.0418353118883792,NaN,NaN
50,NaN,NaN,0.0404679799677085,NaN
55,8.66233260113377,NaN,NaN,0.0434043911666858
60,NaN,0.0395272052946115,NaN,NaN
65,8.84627384622859,NaN,NaN,NaN
70,NaN,NaN,0.0348344471411904,0.0405510186245752
75,NaN,0.0295747263797335,NaN,NaN
85,7.40100884526299,NaN,NaN,0.039762609296622
90,NaN,0.0291876877957448,0.0352877747052371,NaN
100,7.93687132233234,0.030102229053773,0.0333464991575931,NaN
150,7.7433783348705,0.0346517655720476,0.0290660213231434,NaN
200,NaN,NaN,0.0302775636380322,NaN
250,NaN,NaN,0.0318070571122023,NaN
300,NaN,NaN,0.0308347168641447,NaN
