t,input_il6,nSOCS3RNA3_Obs
11,0.1,-0.000524408334689768
11,0.1,0.000689340336996659
11,0.1,0.00119362806397993
11,0.1,0.000979035239808704
11,1,4.55125512561034e-05
11,1,0.000900620981038267
11,1,0.00241113017905758
11,1,0.000273039493671683
11,5,0.00430577749278906
11,5,0.00651178508880139
11,5,0.00535143959599097
11,5,0.00354047228271449
11,10,0.0389368848537199
11,10,0.0409213692952463
11,10,0.0421762260474971
11,10,0.042518552589906
11,50,0.0029921087185738
11,50,0.00159982734249319
11,50,0.0036409349113225
11,50,0.00236225950216093
11,100,0.023565883039417
11,100,0.0238881642709863
11,100,0.0247372194959534
11,100,0.0250901864434737
11,500,0.0756484194888679
11,500,0.0756003085868417
11,500,0.0757506814433297
11,500,0.0758601545464006
