t,EpoRpJAK2_Obs,CIS_Obs,SOCS3nRNA4_Obs
0,0.0973934164066014,5.12503486806887,-0.00042316525807413
4.5,NaN,6.56236978219415,NaN
6.5,1.27094583414525,NaN,NaN
9.5,NaN,-4.16088738223367,NaN
10,NaN,NaN,0.00130650276960355
15,1.47386366359379,-13.9442194011767,NaN
20,1.58084529934796,-4.35416275913485,NaN
25,0.755080042739323,-10.1411424232324,0.00994895581437974
35,1.24132307302984,15.5996145204294,0.010554739423323
40,NaN,35.572530913814,NaN
45,0.326986890067729,NaN,NaN
50,NaN,27.3360825179018,0.00798022615099105
55,0.323974843059087,NaN,NaN
65,0.787766280754909,68.892938014126,0.00371361051370447
75,NaN,86.9714799678586,NaN
80,1.1001699819988,NaN,NaN
85,NaN,NaN,0.00782033941905702
90,NaN,100.695554679445,NaN
95,0.466121721631658,NaN,NaN
100,0.599551997126197,NaN,0.00188304602055558
150,NaN,NaN,0.0024215029031847
200,NaN,NaN,-0.0010949657404755
