t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,STAT5_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,8.74510694630443,0.0181387461027668,-0.01454678397012,127.897085971965,132.350142957644,4.14845856844846,-0.000179306203928422,0.00108743479079336,0.000191407978241607
4.5,NaN,0.415988833147723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,3.74671367698903,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,-201.692060829565,NaN,NaN,NaN,NaN
6.5,6.70683320614669,NaN,0.0632595492905956,35.0482012830942,NaN,NaN,NaN,NaN,NaN
9.5,NaN,0.205811756376585,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,-102.186063638432,1.23993800990154,NaN,NaN,-0.00191176648419702
15,3.84503043864434,0.312066121529717,0.0471467575345251,37.4002316756992,NaN,-4.13586260457209,0.00140306822572822,0.00336715864510638,NaN
20,5.33899638797388,0.273216992526671,0.0249362436931329,48.3720158404249,357.60821377889,9.95726146478173,NaN,NaN,NaN
25,6.30120988199376,0.293584538048099,NaN,9.7518173477008,666.613235033771,-3.24486785000931,NaN,0.00517594068255975,0.00343522088450825
30,NaN,0.233552908414624,0.0206219363589203,NaN,693.844225019862,NaN,0.00503144781514907,NaN,NaN
35,9.3750835907021,NaN,0.0213655738931162,66.4681490867351,NaN,5.65592353274927,NaN,NaN,0.00679832126161257
40,NaN,0.130640352362525,NaN,NaN,1662.82773832361,NaN,0.00523754708219828,0.00575601978160014,NaN
45,9.1513979517304,0.187011698531933,0.0143759930593076,55.2914443639488,NaN,15.9080477250485,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,2041.59848620729,NaN,NaN,NaN,0.00696977773960685
55,5.89837405715045,0.0473464124254809,0.0187972422010518,58.1788945429435,NaN,16.7227856841269,NaN,0.00644123932562101,NaN
60,NaN,NaN,NaN,NaN,3280.57917089999,NaN,0.00565277462164376,NaN,NaN
65,9.09953544764959,0.17403658712915,NaN,59.2589051153157,NaN,39.747562941585,NaN,NaN,0.00484754410045697
70,NaN,NaN,0.0127395986129267,NaN,2582.23750148432,NaN,NaN,0.00260334320722109,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.00254200760147338,NaN,NaN
80,9.08830279855805,0.194743960336319,0.00460224638759644,61.9439863587251,NaN,63.7106481016128,NaN,NaN,0.00308700116335685
85,NaN,NaN,NaN,NaN,2447.42077293441,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00245953685619818,NaN
95,5.27555270947573,0.189108859172032,NaN,98.4689769363705,NaN,NaN,0.00322945896875159,NaN,NaN
100,18.9142534140453,NaN,0.0235188509559687,61.7557267609551,2108.31333393389,NaN,0.0027705112319096,0.00446256389354559,0.00184166861454941
150,NaN,NaN,NaN,91.4850911287703,1816.93420980605,NaN,0.00194380933820037,-0.000291955654115467,0.000417596692730785
200,NaN,NaN,NaN,NaN,NaN,NaN,0.00319207536255879,0.000784706919690217,0.00257696404179767
