t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0.0365666249096848,0.0267188292262912,-0.00504607581149324,-0.0175220435359791,121.501219086377,-26.3021721448329,-99.2246950961974,-10.4095773202096,-0.53940469480038,0.000181136289118795,0.000163711632624929,-8.64726649735315e-05
7.5,NaN,NaN,0.0144823883920735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.225452059651183,0.178778675957353,NaN,NaN,NaN,-4.13589083100297,NaN,NaN,-0.40194434256842,NaN,NaN,NaN
15,NaN,NaN,0.131698527677876,0.0118956787960245,99.3122345694286,NaN,1.02766522384814,24.0295582119891,NaN,-8.45370548874455e-05,NaN,-2.8551516887846e-06
20,NaN,0.22926376977381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000133232502132432,NaN
25,0.233355671198232,NaN,0.120592785398485,0.0692499810421486,145.204767494565,-1.35820047051399,-3.3216450213712,12.6868787398632,-1.07331313046732,NaN,NaN,NaN
30,NaN,0.150926770748619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,0.0383573462246249,NaN,NaN,-16.911217470223,NaN,NaN,NaN,0.000283933603556683,NaN,0.000259189969292504
40,0.15819979008972,NaN,NaN,0.0776965160602728,168.568422064091,NaN,103.837615575417,22.7943504318751,2.48408203861059,NaN,0.000118088364846576,NaN
45,NaN,0.0472533505443734,0.0163725025361341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.173494890317442,NaN,NaN,NaN,NaN,115.244676588316,NaN,NaN,-0.422579513290426,NaN,NaN,NaN
55,NaN,0.0289373101602857,NaN,0.0696762995040727,20.1063322895837,NaN,133.195621658919,83.755100896522,NaN,0.000400520252319332,NaN,0.000364239817499514
60,NaN,NaN,0.0149897812314355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000288857293386083,NaN
65,NaN,NaN,NaN,NaN,NaN,228.017270196453,NaN,NaN,NaN,NaN,NaN,NaN
70,0.173307327831667,-0.00984317701686623,NaN,NaN,NaN,NaN,213.172389858533,68.7031453610077,0.699755950571518,NaN,NaN,NaN
75,NaN,NaN,0.00317751475020342,0.0396870201089101,68.2125647963943,NaN,NaN,NaN,NaN,0.000354384255946326,NaN,0.000352721414955463
80,NaN,NaN,NaN,NaN,NaN,203.10292556212,NaN,NaN,NaN,NaN,NaN,NaN
85,0.193698565322174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.310157663381935,NaN,0.000390436395660298,NaN
90,NaN,0.044903428306403,NaN,0.0142889046618141,88.3213311183127,NaN,173.378260821241,99.1384611480651,NaN,NaN,NaN,NaN
95,NaN,NaN,0.00970785472696062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.14083673364631,0.126437566700336,NaN,0.0506520729491901,98.6681223767868,185.43933669312,119.354773454645,151.496152551592,3.9435033893999,0.00042744463644688,0.00032130264562784,0.000356052837788707
150,0.107998706699435,0.0289951374202042,NaN,0.0730544371057139,25.5517634510635,187.774518188009,187.445438228627,180.299657849575,6.65221467990825,0.000422748497922202,0.000220388986372728,0.000165899887237602
200,0.0731736817117958,NaN,NaN,0.0686025084364095,47.5968733283198,156.88362162257,179.039495690971,163.306858353132,9.53920955416894,0.000122059369122491,0.00041271398105686,0.000325459510896294
250,NaN,NaN,NaN,0.0834364123239839,79.4605288895246,157.121908322376,229.168749479643,112.398566159568,9.01179792550224,0.000227326671677671,0.000244409355420422,0.000357835836311786
300,NaN,NaN,NaN,NaN,110.589390180436,115.301137258021,199.114154163052,169.149036408478,5.45874898630009,0.000213729145333574,0.000279258344380705,0.000131344122687802
